msa_name,trend_coef_Jobs,average_value_Jobs,pct_coef_Jobs,average_pct_Jobs,normalized_trend_coef_Jobs,normalized_pct_coef_Jobs,normalized_average_pct_Jobs,Jobs_weight,total_weight,avg_insurance,prop_tax,Jobs,Median Rent,Median Price,rent_price_ratio
"Bowling Green, KY",1.9606005882155269,105.45454545454545,6.351379113271948e-07,0.0016040641436151147,0.04884769417942595,0.5539916591958153,0.5393051454714672,0.5393051454714672,0.5393051454714672,5182.0,0.0086,83700.0,1264.375,243416.77957311305,0.005194280370553626
"Denver, CO",67.48897518236149,2261.818181818182,-1.6632834989020696e-07,0.0015969302088772886,0.2933108293747844,0.3667748825234136,0.5380549153365404,0.5380549153365404,0.5380549153365404,5542.0,0.0051,1627100.0,2026.856121069835,616283.2068052413,0.0032888387979560264
"Spokane, WA",10.398601963877224,382.72727272727275,1.7700887062366964e-07,0.0015933353664819385,0.08032688596242016,0.44697599746321476,0.537424915139153,0.537424915139153,0.537424915139153,2801.0,0.0098,274400.0,1511.3342190016103,410051.4031863545,0.003685718930011221
"Gainesville, FL",5.650529709872067,215.45454545454547,-2.6259105842739736e-07,0.0015845072221846875,0.06261351161829462,0.3442886034644388,0.5358777728619208,0.5358777728619208,0.5358777728619208,5854.0,0.0089,156300.0,1617.1536191339146,315501.5732325273,0.005125659446211569
"Waco, TX",5.101992384263153,193.63636363636363,4.2382770325222464e-07,0.0015751218176314025,0.06056711331800759,0.5046311084800824,0.5342329700942728,0.5342329700942728,0.5342329700942728,5602.0,0.018,138000.0,1448.6395304395303,255370.7918754268,0.005672690756060292
"Burlington, NC",2.4068083386318984,93.63636363636364,2.8124551736048245e-07,0.001572114135753858,0.0505123371114513,0.47132493135790365,0.5337058704420092,0.5337058704420092,0.5337058704420092,4375.0,0.0084,69400.0,1374.7037037037037,284091.74543780595,0.004838942791474584
"Greenville, SC",16.933942466326222,628.1818181818181,2.620470891712884e-07,0.001571739459923343,0.1047079245383506,0.4668403160762848,0.5336402080787618,0.5336402080787618,0.5336402080787618,4319.0,0.0057,465900.0,1570.9723763912125,293255.88205350976,0.005357002101340837
"Indianapolis, IN",40.65249939181109,1568.1818181818182,2.994255790298821e-07,0.0015308743293448062,0.19319345197933813,0.4755716635163859,0.5264785477055446,0.5264785477055446,0.5264785477055446,4451.0,0.0085,1179500.0,1529.352250592349,280482.5278091416,0.005452575825446849
"Athens, GA",2.262699902867686,135.45454545454547,1.9790390555949763e-07,0.00150662939631045,0.04997471962538953,0.45185692792584076,0.5222295957578748,0.5222295957578748,0.5222295957578748,4006.0,0.0092,104600.0,1796.4910521433776,352331.3580702692,0.005098867900895396
"Tallahassee, FL",7.236726974832775,265.45454545454544,5.512128677096437e-07,0.0014956659287190506,0.06853105129224892,0.5343873702712855,0.5203082356572021,0.5203082356572021,0.5203082356572021,5854.0,0.0089,200600.0,1485.623741331373,284415.4145292579,0.00522342905988503
